Category,Quote Number,Question,Answer
Investment Strategies,1,"Mr. Buffett, what is your number one rule for investing?","Rule No. 1 is never lose money. Rule No. 2 is never forget Rule No. 1."
Investment Strategies,2,"How do you explain the long-term benefits of investing to beginners?","Someone's sitting in the shade today because someone planted a tree a long time ago."
Investment Strategies,3,"What timeframe should investors consider when buying stocks?","If you aren't willing to own a stock for 10 years, don't even think about owning it for 10 minutes."
Investment Strategies,4,"What's your approach to stock market volatility?","I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years."
Investment Strategies,5,"How long do you typically hold onto your investments?","Our favourite holding period is forever."
Investment Strategies,6,"When evaluating industries for investment, what factors matter most?","The key to investing is not assessing how much an industry is going to affect society, or how much it will grow, but rather determining the competitive advantage of any given company and, above all, the durability of that advantage."
Investment Strategies,7,"What should investors do when they realize they've made a poor investment?","The most important thing to do if you find yourself in a hole is to stop digging."
Investment Strategies,8,"How do you distinguish between price and value in investing?","Price is what you pay, value is what you get."
Investment Strategies,9,"What three words are most crucial to successful investing?","The three most important words in investing are 'margin of safety.'"
Investment Strategies,10,"Is it better to buy great companies at fair prices or fair companies at great prices?","It's far better to buy a wonderful company at a fair price, than a fair company at a wonderful price."
Investment Strategies,11,"What's the primary source of investment risk?","Risk comes from not knowing what you are doing."
Investment Strategies,12,"How should long-term investors measure risk in their portfolios?","It is a terrible mistake for investors with long-term horizons — among them pension funds, college endowments, and savings-minded individuals — to measure their investment 'risk' by their portfolio's ratio of bonds to stocks."
Investment Strategies,13,"How important are annual performance metrics for investors?","Do not take yearly results too seriously. Instead, focus on four or five-year averages."
Investment Strategies,14,"What's your most fundamental rule for choosing investments?","Never invest in a business you cannot understand."
Investment Strategies,15,"What's your view on holding cash as a long-term investment strategy?","Today people who hold cash equivalents feel comfortable. They shouldn't. They have opted for a terrible long-term asset, one that pays virtually nothing and is certain to depreciate in value."
Investment Strategies,16,"How do you balance risk-taking with protecting your investments?","We never want to count on the kindness of strangers in order to meet tomorrow's obligations. When forced to choose, I will not trade even a night's sleep for the chance of extra profits."
Investment Strategies,17,"Should investors wait for the perfect opportunity or act on good ones that arise?","Don't pass up something that's attractive today because you think you will find something better tomorrow."
Investment Strategies,18,"Why are actively managed funds often a poor choice for individual investors?","When trillions of dollars are managed by Wall Streeters charging high fees, it will usually be the managers who reap outsized profits, not the clients."
Investment Strategies,19,"How should investors respond to rare market opportunities?","Opportunities come infrequently. When it rains gold, put out the bucket, not the thimble"
Investment Strategies,20,"When is the best time to invest in the market?","The best chance to deploy capital is when things are going down."
Investment Strategies,21,"What's your perspective on Wall Street advisors?","Wall Street is the only place that people ride to in a Rolls Royce to get advice from those who take the subway."
Investment Strategies,22,"Is portfolio diversification always a sound strategy?","Diversification is protection against ignorance. It makes little sense if you know what you are doing."
Investment Strategies,23,"How do diversification and concentration strategies differ in wealth creation?","Diversification may preserve wealth, but concentration builds wealth."
Investment Strategies,24,"Can concentration in a portfolio actually reduce risk rather than increase it?","We believe that a policy of portfolio concentration may well decrease risk if it raises, as it should, both the intensity with which an investor thinks about a business and the comfort-level he must feel with its economic characteristics before buying into it. In stating this opinion, we define risk, using dictionary terms, as 'the possibility of loss or injury.'"
Investment Strategies,25,"What's your view on complex financial models used by Wall Street?","Investors should be sceptical of history-based models. Constructed by a nerdy-sounding priesthood using esoteric terms such as beta, gamma, sigma and the like, these models tend to look impressive. Too often, though, investors forget to examine the assumptions behind the models. Beware of geeks bearing formulas."
Investment Strategies,26,"What quality do you look for in businesses that can withstand poor management?","I try to invest in businesses that are so wonderful that an idiot can run them. Because sooner or later, one will."
Investment Strategies,27,"What's your assessment of derivative financial instruments?","Derivatives are financial weapons of mass destruction."
Investment Strategies,28,"How cautious should investors be when exploring new investment territories?","You should never test the depth of the water with both feet."
Investment Strategies,29,"Does finding a good business automatically make it a good investment?","A good business is not always a good purchase – although it's a good place to look for one."
Investment Strategies,30,"What investing approach did you learn from Ben Graham?","Our advantage, rather, was attitude: we had learned from Ben Graham that the key to successful investing was the purchase of shares in good businesses when market prices were at a large discount from underlying business values."
Investment Strategies,31,"Do investors need expertise across many industries to succeed?","You don't have to be an expert on every company, or even many. You only have to be able to evaluate companies within your circle of competence."
Investment Strategies,32,"What's particularly valuable during market downturns?","Cash combined with courage in a time of crisis is priceless."
Investment Strategies,33,"What should Americans believe in regarding their economic future?","Trust in American ingenuity"
Investment Strategies,34,"Beyond financials, what should guide investment decisions?","Invest in companies you believe in"
Investment Psychology,35,"Which investment moves tend to be the most successful?","Beware the investment activity that produces applause; the great moves are usually greeted by yawns."
Investment Psychology,36,"Why do simple investment strategies often outperform complex ones?","The business schools reward difficult complex behaviour more than simple behaviour, but simple behaviour is more effective."
Investment Psychology,37,"Is intellect the most important quality for successful investing?","The most important quality for an investor is temperament, not intellect."
Investment Psychology,38,"How would you characterize the stock market's behavior?","Remember that the stock market is a manic depressive."
Investment Psychology,39,"What's your simplest formula for investment success?","I will tell you how to become rich. Close the doors. Be fearful when others are greedy. Be greedy when others are fearful."
Investment Psychology,40,"Why can't investment returns be accelerated through increased effort?","No matter how great the talent or efforts, some things just take time. You can't produce a baby in one month by getting nine women pregnant."
Investment Psychology,41,"Should investors focus more on market indices or business fundamentals?","Games are won by players who focus on the playing field –- not by those whose eyes are glued to the scoreboard."
Investment Psychology,42,"How reliable are expert market forecasts?","Forecasts may tell you a great deal about the forecaster; they tell you nothing about the future."
Investment Psychology,43,"Is superior intelligence necessary for investment success?","We don't have to be smarter than the rest. We have to be more disciplined than the rest."
Investment Psychology,44,"How selective should investors be with their investment decisions?","An investor should act as though he had a lifetime decision card with just twenty punches on it."
Investment Psychology,45,"How valuable is historical market knowledge for investors?","If past history was all that is needed to play the game of money, the richest people would be librarians."
Investment Psychology,46,"What's your take on active traders who call themselves investors?","Calling someone who trades actively in the market an investor 'is like calling someone who repeatedly engages in one-night stands a romantic.'"
Investment Psychology,47,"How should one approach stock ownership psychologically?","Buy a stock the way you would buy a house. Understand and like it such that you'd be content to own it in the absence of any market."
Investment Psychology,48,"How does the market distribute wealth between different types of investors?","The stock market is a device for transferring money from the impatient to the patient."
Investment Psychology,49,"Beyond knowledge, what psychological traits make a successful investor?","Temperament is also important. Independent thinking, emotional stability, and a keen understanding of both human and institutional behaviour is vital to long-term investment success."
Investment Psychology,50,"What's your advice on building financial security?","Never depend on a single income. Make an investment to create a second source."
Investment Psychology,51,"What approach to personal finance leads to successful wealth building?","Do not save what is left after spending; instead spend what is left after saving."
Investment Psychology,52,"Why is passive income so important for financial freedom?","If you don't find a way to make money while you sleep, you will work until you die."
Investment Psychology,53,"How do unnecessary purchases affect long-term financial health?","If you buy things you do not need, soon you will have to sell things you need."
Investment Psychology,54,"What's the relationship between education and earning potential?","The more you learn, the more you earn."
Investment Psychology,55,"Can methodical planning outperform natural intelligence?","An idiot with a plan can beat a genius without a plan."
Investment Psychology,56,"What lifestyle approach do you recommend for building wealth?","Stay away from the mentality of using the credit card compulsorily and invest on yourself. Wealth has not created mankind but mankind has created wealth. Live your life in the simplest manner possible."
Investment Psychology,57,"How do you balance risk-taking with family security?","I've never believed in risking what my family and friends have and need in order to pursue what they don't have and don't need."
Life and Success,58,"What's the most valuable asset anyone can invest in?","The most important investment you can make is in yourself."
Life and Success,59,"Why do you value honesty so highly in business and life?","Honesty is a very expensive gift, Don't expect it from cheap people."
Life and Success,60,"What does it take to achieve excellence?","Intensity is the price of excellence."
Life and Success,61,"What responsibility comes with great financial success?","If you're in the luckiest one per cent of humanity, you owe it to the rest of humanity to think about the other 99 per cent."
Life and Success,62,"What distinguishes the very successful from the merely successful?","The difference between successful people and really successful people is that really successful people say no to almost everything."
Life and Success,63,"Why is job satisfaction so important in your view?","There comes a time when you ought to start doing what you want. Take a job that you love. You will jump out of bed in the morning. I think you are out of your mind if you keep taking jobs that you don't like because you think it will look good on your resume. Isn't that a little like saving up sex for your old age?"
Life and Success,64,"When is it better to change direction completely rather than fix problems?","Should you find yourself in a chronically leaking boat, energy devoted to changing vessels is likely to be more productive than energy devoted to patching leaks."
Life and Success,65,"How fragile is reputation in business?","It takes 20 years to build a reputation and five minutes to ruin it. If you think about that you'll do things differently."
Life and Success,66,"How do the people we associate with affect our development?","It's better to hang out with people better than you. Pick out associates whose behavior is better than yours and you'll drift in that direction."
Life and Success,67,"What daily habit leads to continuous self-improvement?","Get something to improve yourself at least 1% each day"
Life and Success,68,"What's your view on reading as a habit?","Reading could be the BEST addiction one could have. The only proven side effect is imagination & an edge in knowledge."
Life and Success,69,"How do our role models influence who we become?","Tell me who your heroes are and I'll tell you how you'll turn out to be."
Life and Success,70,"How should people choose where to work?","People always ask me where they should go to work, and I always tell them to go to work for whom they admire the most."
Life and Success,71,"How do you decide when to take action versus when to wait?","You do things when the opportunities come along. I've had periods in my life when I've had a bundle of ideas come along, and I've had long dry spells. If I get an idea next week, I'll do something. If not, I won't do a damn thing."
Business,72,"What three qualities do you look for when hiring people?","Somebody once said that in looking for people to hire, you look for three qualities: integrity, intelligence, and energy. And if you don't have the first, the other two will kill you. You think about it; it's true. If you hire somebody without [integrity], you really want them to be dumb and lazy."
Business,73,"How do you structure your workday differently from most executives?","I insist on a lot of time being spent, almost every day, to just sit and think. That is very uncommon in American business. I read and think. So I do more reading and thinking, and make less impulse decisions than most people in business. I do it because I like this kind of life."
Business,74,"What's the secret to business success?","In the world of business, the people who are most successful are those who are doing what they love."
Business,75,"What criteria do you use for choosing business partners?","I learned to go into business only with people whom I like, trust, and admire."
Business,76,"How does hindsight compare to foresight in business?","In the business world, the rearview mirror is always clearer than the windshield."
Business,77,"What happens when businesses focus too much on accounting appearances?","In the long run managements stressing accounting appearance over economic substance usually achieve little of either."
Business,78,"What's more important than rules in shaping organizational behavior?","Culture, more than rule books, determines how an organisation behaves."
Business,79,"What hiring philosophy leads to organizational excellence?","If each of us hires people who are smaller than we are, we shall become a company of dwarfs. But, if each of us hires people who are bigger than we are, we shall become a company of giants."
Business,80,"Is organizational hierarchy more important than talent?","Having first-rate people on the team is more important than designing hierarchies and clarifying who reports to whom"
Business,81,"When do business weaknesses become most apparent?","It's only when the tide goes out that you learn who's been swimming naked."
Business,82,"What are the three factors that lead to business decline?","ABCs of business decay, which are arrogance, bureaucracy and complacency."
Business,83,"How do you determine if a business has a strong competitive position?","If you've got the power to raise prices without losing business to a competitor, you've got a very good business. If you have to have a prayer session before raising the price by 10%, then you've got a bad business."
Business,84,"What qualities should board members possess?","The requisites for board membership should be business savvy, interest in the job, and owner-orientation."
Business,85,"How does pressure to meet Wall Street expectations affect corporate behavior?","Over the years, Charlie and I have seen all sorts of bad corporate behaviour, both accounting and operational, induced by the desire of management to meet Wall Street expectations."
Business,86,"Can brilliant management overcome poor business economics?","When a management with a reputation for brilliance tackles a business with a reputation for bad economics, it is the reputation of the business that remains intact."
Business,87,"What's your take on managers who prioritize empire-building over shareholder returns?","Managers who want to expand their domain at the expense of owners might better consider a career in government."
Gold,88,"Why are you skeptical about gold as an investment?","[Gold] gets dug out of the ground in Africa, or someplace. Then we melt it down, dig another hole, bury it again and pay people to stand around guarding it. It has no utility. Anyone watching from Mars would be scratching their head."
Gold,89,"What's your price prediction for gold over the next five years?","I have no views as to where (gold) will be (in the next five years), but the one thing I can tell you is it won't do anything between now and then except look at you"
Gold,90,"What drives gold price increases according to your observation?","What motivates most gold purchasers is their belief that the ranks of the fearful will grow. During the past decade that belief has proved correct. Beyond that, the rising price has on its own generated additional buying enthusiasm, attracting purchasers who see the rise as validating an investment thesis. As 'bandwagon' investors join any party, they create their own truth — for a while."
